ET Cell ID	ET Cell Name	Ref ET MET ID	Met Latitude	Met Longitude	Met Elevation (feet)	Area weighted average Permeability - in/hr	Area weighted average WHC - in/ft	Average soil depth - in	Hydrologic Group (A-C) (A='coarse'  B='medium')	Hydrologic Group  (1-3) (1='coarse' 2='medium')	Aridity Rating (fromHuntington plus google)	Ref ET Data Path
52	52	157047	  44.6920	-106.9330	4106.43	-999	1.6800	60	B	2	50	
520	520	151495	  44.8580	-107.2670	4108.40	-999	1.9625	60	B	2	50	
521	521	151494	  44.8580	-107.3080	4528.48	-999	1.4400	60	B	2	50	
522	522	151494	  44.8580	-107.3080	4528.48	-999	1.9200	60	B	2	50	
523	523	150119	  44.9000	-106.8500	3671.13	-999	1.9200	60	B	2	50	
524	524	151494	  44.8580	-107.3080	4528.48	-999	1.9200	60	B	2	50	
525	525	150125	  44.9000	-106.6000	3963.65	-999	2.1600	60	B	2	50	
526	526	151494	  44.8580	-107.3080	4528.48	-999	1.9200	60	B	2	50	
527	527	151495	  44.8580	-107.2670	4108.40	-999	1.9200	60	B	2	50	
528	528	151495	  44.8580	-107.2670	4108.40	-999	1.9200	60	B	2	50	
529	529	151495	  44.8580	-107.2670	4108.40	-999	1.9200	60	B	2	50	
53	53	157046	  44.6920	-106.9750	4075.59	-999	1.8925	60	B	2	50	
530	530	150125	  44.9000	-106.6000	3963.65	-999	1.5600	60	B	2	50	
531	531	151495	  44.8580	-107.2670	4108.40	-999	1.9092	60	B	2	50	
532	532	151495	  44.8580	-107.2670	4108.40	-999	1.9200	60	B	2	50	
533	533	151497	  44.8580	-107.1830	4069.95	-999	1.9200	60	B	2	50	
534	534	151505	  44.8580	-106.8500	3697.90	-999	1.9200	60	B	2	50	
535	535	151494	  44.8580	-107.3080	4528.48	-999	1.9200	60	B	2	50	
536	536	151495	  44.8580	-107.2670	4108.40	-999	1.7348	60	B	2	50	
537	537	151494	  44.8580	-107.3080	4528.48	-999	1.9200	60	B	2	50	
538	538	151502	  44.8580	-106.9750	3761.02	-999	1.9200	60	B	2	50	
539	539	151505	  44.8580	-106.8500	3697.90	-999	1.9200	60	B	2	50	
54	54	157049	  44.6920	-106.8500	4175.20	-999	1.9200	60	B	2	50	
540	540	151505	  44.8580	-106.8500	3697.90	-999	1.9200	60	B	2	50	
541	541	151495	  44.8580	-107.2670	4108.40	-999	1.6690	60	B	2	50	
